t1,t2,t3,t4
1,5,6,7
2,6,7,8
3,7,8,9
4,8,9,10
5,9,10,11
6,10,11,12
7,11,12,13
8,12,13,14
9,13,14,15
10,14,15,16
11,15,16,17
12,16,17,18
13,17,18,19
14,18,19,20
15,19,20,21
16,20,21,22
17,21,22,23
18,22,23,24
19,23,24,25
20,24,25,26
21,25,26,200
22,26,27,28
23,300,28,29
24,28,29,30
25,29,30,31
26,30,31,32
27,31,32,33
28,32,33,34
29,33,34,35
30,34,35,36
31,35,100,37
32,36,37,38
33,37,38,39
34,38,39,40
35,39,40,41
36,40,41,42
37,41,42,43
38,42,43,44
39,43,44,45
40,44,45,46
41,45,46,47
42,46,47,48
43,47,48,49
44,48,49,50
45,49,50,51
